id,type_of_logement_raw,ville_raw,quartier_raw,room_nb_raw,bedroom_nb_raw,surface_raw,price_raw
4397,Maison,Houilles,Belles Vues,5,3,160,649000
4398,Appartement,Charenton-le-Pont,Franges du Bois de Vincennes,1,,26.4,265000
4399,Appartement,,,3,2,134,230000
4400,Appartement,Antony,Guillebaud-Beauv Vallon-Les Rabats-Antonypole,2,1,48.78,212000
4401,Appartement,,,2,1,41.68,164000
4402,Appartement,Sartrouville,Le Fresnay-Vieux Pays,4,3,95,416000
4403,Appartement,Sartrouville,La Croix Blanche-Les Richebourgs,2,1,42.24,220000
4404,Appartement,,,3,1,72.76,249000
4405,Maison,Yerres,Bellevue-Centre Ville,6,3,130,458000
4406,Maison,,,6,4,155,159000
4407,Appartement,Pontoise,Centre Ville,1,,27.6,147000
4408,Maison,Noisy-le-Grand,Bois Saint Martin-Yvris-Richardets-Monfort,4,2,68,350000
4409,Appartement,Le Raincy,Valere Lefebvre,4,2,71,258000
4410,Maison,Argenteuil,Centre Ville-Calais,6,4,172,455800
4411,Appartement,Paris 16,Muette Nord,3,2,62.5,665000
4412,Maison,,,5,4,128,349000
4413,Appartement,Paris 16,Chaillot,,,,240000
4414,Maison,Conflans-Sainte-Honorine,Grandes Terres,5,3,87,299000
4415,Appartement,Taverny,Centre Ancien Est,3,2,65,224700
4416,Appartement,Dammartin-en-Goële,Centre Est Sud,2,1,43.98,175500
4417,Appartement,Aubervilliers,Villette Quatre Chemin,1,,25.1,130000
4418,Appartement,Villemomble,Bondy,3,2,52.42,176000
4419,Maison,Livry-Gargan,Marx Dormoy,4,2,85,250000
4420,Maison,,,10,6,288,930000
4421,Appartement,Noisy-le-Grand,Pavé Neuf-Mont d'Est,1,,35,190000
4422,Maison,Le Plessis-Trévise,Le Centre,6,5,115,429000
4423,Appartement,Paris 16,Muette Sud,3,2,68,895000
4424,Appartement,Puteaux,Bergère-Moulin,3,2,67,505000
4425,Appartement,Cergy,Parc Saint Christophe,2,1,40.62,214300
4426,Appartement,Cergy,Parc Saint Christophe,3,2,58.3,205000
4427,Appartement,Pontoise,Centre Ville,1,,27.6,147000
4428,Maison,Noisy-le-Grand,Bois Saint Martin-Yvris-Richardets-Monfort,4,2,68,350000
4429,Appartement,Ivry-sur-Seine,Centre Ville Est,3,2,63,295000
4430,Maison,Jouy le Moutier,Le Village,6,4,110,309000
4431,Maison,Argenteuil,Centre Ville-Calais,6,4,172,455800
4432,Appartement,Paris 16,Muette Nord,3,2,62.5,665000
4433,Maison,,,5,4,128,349000
