id,type_of_logement_raw,ville_raw,quartier_raw,room_nb_raw,bedroom_nb_raw,surface_raw,price_raw
1008,Maison,,,7,4,163,695000
1009,Appartement,Paris 14,Mouton Duvernet,6,3,152,1998750
1010,Maison,,,4,3,103,293000
1011,Appartement,Cergy,Le Point du Jour-Centre Gare,3,2,60.8,245000
1012,Appartement,Villejuif,Centre Ville Ouest,4,3,71,357000
1013,Appartement,Villejuif,Centre Ville Ouest,4,3,85,388500
1014,Appartement,Neuilly-sur-Seine,Ile de la Jatte-Parc d'Orléans,2,1,56,560000
1015,Appartement,Paris 16,Muette Sud,4,2,82.53,920000
1016,Maison,Conflans-Sainte-Honorine,Centre Ville,6,4,120,525000
1017,Maison,Romainville,Grands Champs,4,2,83,499000
1018,Maison,Saint-Fargeau-Ponthierry,Moulignon-Auxonnettes-Jonville,8,4,197,435000
1019,Appartement,Nanterre,Vieux Pont,2,1,38,246100
1020,Appartement,Pontoise,Centre Ville,,,,94160
1021,Appartement,Les Pavillons-sous-Bois,Emile Zola,3,2,79,202000
1022,Maison,Livry-Gargan,Collavéri-Kubacki,3,2,80,320000
1023,Maison,Bondy,Le Saule Blanc,5,5,94,354000
1024,Appartement,Paris 14,Pernety,2,1,25,336000
1025,Appartement,Rueil-Malmaison,Centre Ville,,,,205000
1026,Appartement,Rueil-Malmaison,Les Bords de Seine-Closeaux,3,2,54,252000
1027,Appartement,,,3,2,66,343000
1028,Appartement,Chatou,Parc-Pièce d'Eau,2,1,56,349000
1029,Maison,,,6,3,112,580000
1030,Appartement,Paris 13,Olympiades-Choisy,2,1,53.43,398000
1031,Maison,Courcouronnes,Canal,5,3,90,225000
1032,Appartement,Fontenay-sous-Bois,Larris,4,2,82,260000
1033,Appartement,Romainville,Parcs,3,2,62.38,335000
1034,Maison,Fontenay-sous-Bois,Victor Hugo,4,3,95,414000
1035,Maison,,,6,4,152,336000
1036,Appartement,,,3,2,58.44,188000
1037,Maison,,,6,5,169,749000
1038,Maison,,,6,5,169.71,749000
1039,Appartement,Paris 17,Péreire-Malesherbes,6,4,197,2600000
1040,Appartement,Saint-Germain-en-Laye,Gérard de Nerval,2,1,65.74,545000
1041,Maison,Triel sur Seine,Nord et Ouest,5,3,80,368400
1042,Appartement,Livry-Gargan,Collavéri-Kubacki,3,2,81.05,280000
1043,Appartement,Clamart,Percy Schneider,4,3,105,695000
1044,Appartement,Saint-Germain-en-Laye,Victor Hugo-Belvédère,3,2,70.34,605000
1045,Appartement,Paris 12,Jardin de Reuilly,3,2,83,916000
1046,Appartement,Orsay,Bas Guichet-Centre Est,4,3,94,450000
1047,Appartement,Paris 15,Emeriau-Zola,4,3,89,1099000
1048,Maison,Evry,Village,6,4,170,355500
1049,Appartement,Neuilly-sur-Seine,Ile de la Jatte-Parc d'Orléans,2,1,54,850000
1050,Appartement,Paris 02,Montorgueil-Saint Denis,3,2,111,1550000
1051,Appartement,Paris 16,Muette Nord,8,5,260,3300000
1052,Appartement,Eaubonne,L'Orangerie-Centre Ville,4,3,83,283500
1053,Maison,Taverny,Centre Ancien Ouest,5,4,92,329000
1054,Appartement,Saint-Denis,Mutuelle-Barbusse-Saint Rémy- Joliot Curie,4,2,62,180000
1055,Appartement,Saint-Denis,République-Gare-Porte de Paris,5,3,71,319900
1056,Maison,Domont,Vieux Village,7,3,158,436800
1057,Appartement,Maisons-Alfort,Alfort,3,1,58.68,359900
1058,Appartement,Asnières-sur-Seine,Bac-Bécon-Flachat-Gare,3,2,71,575000
1059,Appartement,Asnières-sur-Seine,Bac-Bécon-Flachat-Gare,4,3,80.5,623000
1060,Maison,Saint-Germain-en-Laye,Forêt,8,6,260,1255000
1061,Appartement,Saint-Germain-en-Laye,Hennemont,4,2,83,379000
1062,Maison,,,9,5,180,437840
1063,Appartement,Villepreux,Haie Bergerie,4,3,83,239000
1064,Maison,Saint-Germain-en-Laye,Péreire,7,5,179.95,1545000
1065,Appartement,Versailles,Domaine National du Château,5,4,105,695000
1066,Appartement,Maisons-Laffitte,Chateau,3,2,56,329000
1067,Maison,,,6,4,150,450000
1068,Maison,Saint-Maur-des-Fossés,La Varenne,6,3,143,1070000
1069,Maison,,,5,4,121,334750
1070,Appartement,Saint-Cloud,Pasteur,2,1,53,385000
1071,Appartement,Paris 17,Péreire-Malesherbes,6,3,150,1650000
1072,Appartement,Paris 09,Lafayette-Richer,3,2,86,1430000
1073,Appartement,Antony,Guillebaud-Beauv Vallon-Les Rabats-Antonypole,2,1,42,149000
1074,Maison,,,5,4,115,455000
1075,Maison,Le Mesnil-le-Roi,Nord Ouest,4,3,124,631000
1076,Maison,Chatou,Les Peintres,7,5,160,929000
1077,Maison,,,5,3,86,264470
1078,Maison,,,6,4,140,355000
1079,Maison,Triel sur Seine,Nord et Ouest,6,4,147,399000
1080,Appartement,Verneuil sur Seine,Richelieu,5,4,91,233000
1081,Appartement,Châtenay-Malabry,Faulotte,3,2,60,396000
1082,Maison,Montesson,Le Village,7,5,224,915000
1083,Appartement,Saint-Maur-des-Fossés,Le Vieux-Saint-Maur,4,2,60,325500
1084,Appartement,Houilles,Blanches-Pierrats-Tonkin,4,2,68,269000
1085,Appartement,Montigny-le-Bretonneux,Les Près,2,1,49.42,189000
1086,Appartement,Paris 16,Chaillot,4,3,223,3570000
1087,Appartement,Paris 15,Violet Commerce,3,2,57,690000
1088,Maison,,,4,2,72.84,430000
1089,Appartement,Courbevoie,Hôtel de Ville,2,1,52.88,320000
1090,Maison,,,5,3,130,399000
1091,Appartement,Franconville,Séquoia de la Gare,3,2,55.65,169000
1092,Maison,,,8,6,175,830000
1093,Maison,,,11,7,380,592800
1094,Maison,,,5,4,85,199000
1095,Maison,,,8,3,230,490000
1096,Maison,,,8,5,180,440000
1097,Maison,,,5,3,135,291500
1098,Appartement,Herblay,Les Naquettes-Les Bournouviers,2,1,42.3,189000
1099,Maison,Viroflay,Les Arcades,9,6,187,1490000
1100,Appartement,Ris-Orangis,Centre,4,2,74.82,145000
1101,Maison,Limeil-Brévannes,Les Candies,6,3,130,389000
1102,Maison,,,5,3,81.54,310000
1103,Maison,Herblay sur Seine,Le Val d'Herblay,4,2,85,399000
1104,Maison,,,7,5,180,299000
1105,Maison,,,7,4,230,1095000
1106,Maison,Aulnay-sous-Bois,Prévoyants-Chanteloup-Pont de l'Union,8,4,250,634000
1107,Maison,Sucy-en-Brie,La Procession-Fort,5,3,110,447000
1108,Appartement,Paris 04,Saint Gervais,3,1,90,1790000
1109,Appartement,Paris 19,Flandre-Aubervilliers,2,1,60,535000
1110,Appartement,Châtillon,Berthelot-Avenue de Paris,3,1,56,324000
1111,Appartement,Antony,La Fontaine-Parc des Sceaux-Croix de Berny-Centre Ville,2,1,38,270000
1112,Maison,Joinville-le-Pont,Mocquet,4,2,67.91,495000
1113,Appartement,Paris 14,Didot-Porte de Vanves,4,3,80,1190000
1114,Appartement,Montigny-le-Bretonneux,Le Village,3,2,63.34,241500
1115,Maison,,,5,3,150,460000
1116,Appartement,Clamart,Centre,3,2,65,452000
1117,Appartement,,,4,3,100,730000
1118,Maison,,,7,4,159,580000
1119,Appartement,Noisy-le-Grand,Cormiers-Hauts Batons-Champy-Butte Verte,2,1,38,174000
1120,Maison,Sèvres,Beau Site-Pommerets-Binelles,9,6,280,1890000
1121,Appartement,Paris 15,Vaugirard-Parc des Expositions,3,2,59,659000
1122,Appartement,Paris 16,Auteuil Nord,3,1,94,1287000
1123,Maison,Le Mesnil-le-Roi,Nord Ouest,4,3,124,631000
1124,Maison,Chatou,Les Peintres,7,5,160,929000
1125,Maison,Aulnay-sous-Bois,Vieux Pays-Roseraie-Bourg-Cité de l'Europe- Le Merisier- Les Etangs,7,5,130,410000
1126,Appartement,Chilly-Mazarin,Mairie-Champs Fous-Morangis,3,2,56,149800
1127,Appartement,Triel sur Seine,Nord et Ouest,3,2,81.51,259000
1128,Appartement,Dourdan,La Croix Saint Jacques,3,2,69.47,205000
1129,Appartement,Enghien-les-Bains,Residentiel-Barre d'Ormesson,5,3,93,429000
1130,Appartement,Lagny-sur-Marne,Déviation route Nationale Nord,4,2,73,181000
1131,Maison,,,7,5,190,998000
1132,Appartement,Valenton,Lutece-Bergerie,4,3,77,226000
1133,Appartement,Nanterre,Plateau,3,2,82.35,549900
1134,Appartement,Argenteuil,Coteaux-Felifeu,3,2,66,252500
1135,Maison,Les Lilas,Villegranges,5,3,113,837000
1136,Appartement,Ris-Orangis,Le Moulin a Vent,4,2,75.06,135000
1137,Appartement,Paris 16,Chaillot,7,4,245,4985000
1138,Maison,Saint-Rémy-Lès-Chevreuse,Sud Yvette,5,4,105,450000
1139,Maison,Cormeilles-en-Parisis,Emy les Pres,7,4,145,469000
1140,Maison,Rueil-Malmaison,Centre Ville,7,4,212,1243000
1141,Appartement,,,2,1,41,226800
1142,Appartement,Paris 18,Grandes Carrières-Clichy,5,3,200,1250000
1143,Maison,,,6,3,155,340000
1144,Appartement,Brétigny-sur-Orge,Centre Ville,2,1,39.74,167000
1145,Maison,Magny les Hameaux,Les Hameaux-La Croix Aux Buis-Chapelle,4,3,90,395000
1146,Appartement,Melun,Montaigu Nord Est,4,3,74.5,200500
1147,Appartement,Paris 11,Belleville-Saint Maur,4,2,92,1020000
1148,Maison,Bondoufle,Centre,5,3,90,289500
1149,Appartement,Paris 04,Ile de la Cité,3,2,68,890000
1150,Maison,Sainte-Geneviève-des-Bois,Georges Pitard,9,6,238,798700
1151,Appartement,Les Ulis,Anjou,3,2,61,194000
1152,Appartement,Pontault-Combault,Bois Notre Dame,2,1,46.4,190000
1153,Appartement,Maurepas,Centre Ville,4,3,86,199000
1154,Appartement,Paris 05,Jardin des Plantes,2,1,62,880000
1155,Maison,Domont,Vieux Village,6,4,104,269610
1156,Appartement,Paris 16,Auteuil Sud,2,1,48.69,850000
1157,Maison,,,5,3,134,409500
1158,Maison,,,8,5,207,969000
1159,Appartement,,,5,3,127.21,390000
1160,Maison,Noisy-le-Grand,Bois Saint Martin-Yvris-Richardets-Monfort,5,4,172,474000
1161,Maison,,,10,4,360,2800000
1162,Maison,,,7,5,214,1070000
1163,Appartement,Paris 08,Triangle d'Or,2,1,79.64,1795000
1164,Maison,,,7,5,152,284000
1165,Appartement,Sucy-en-Brie,Le Centre,3,2,73,229000
1166,Appartement,Thiais,La Prevote,3,2,68.56,250000
1167,Maison,Nanteuil-Lès-Meaux,Nord,7,5,185,468000
1168,Appartement,Morangis,Ormeteau,3,2,63.62,149800
1169,Maison,Soisy-sous-Montmorency,Le Centre,8,5,185,740000
1170,Maison,Aulnay-sous-Bois,Vieux Pays-Roseraie-Bourg-Cité de l'Europe- Le Merisier- Les Etangs,7,5,130,410000
1171,Appartement,Chilly-Mazarin,Mairie-Champs Fous-Morangis,3,2,56,149800
1172,Appartement,Triel sur Seine,Nord et Ouest,3,2,81.51,259000
1173,Appartement,Dourdan,La Croix Saint Jacques,3,2,69.47,205000
1174,Appartement,Enghien-les-Bains,Residentiel-Barre d'Ormesson,5,3,93,429000
1175,Appartement,Lagny-sur-Marne,Déviation route Nationale Nord,4,2,73,181000
1176,Maison,,,7,5,190,998000
1177,Appartement,Valenton,Lutece-Bergerie,4,3,77,226000
1178,Appartement,Nanterre,Plateau,3,2,82.35,549900
1179,Appartement,Argenteuil,Coteaux-Felifeu,3,2,66,252500
1180,Maison,Les Lilas,Villegranges,5,3,113,837000
1181,Appartement,Ris-Orangis,Le Moulin a Vent,4,2,75.06,135000
1182,Appartement,,,6,4,187,2900000
1183,Appartement,Gif-sur-Yvette,Courcelles,4,2,78.66,284900
1184,Maison,,,8,4,270,1895000
1185,Appartement,Paris 17,Péreire-Malesherbes,3,2,97.74,1578000
1186,Appartement,Melun,Montaigu Nord Est,4,3,74.5,200500
1187,Maison,Auvers-sur-Oise,Valhermeil Chaponval,5,3,105,359900
1188,Appartement,Paris 11,Belleville-Saint Maur,4,2,92,1020000
1189,Maison,Bondoufle,Centre,5,3,90,289500
1190,Appartement,Paris 16,Muette Sud,3,2,92,1360000
1191,Maison,,,9,4,183,540000
1192,Maison,,,5,2,92,355000
1193,Appartement,,,4,2,68.62,224000
1194,Appartement,Montmorency,Centre Montmorency Centre,2,1,51.56,220000
1195,Appartement,Vaucresson,Plateau de Cazes,3,2,79.4,359000
1196,Appartement,,,3,2,80,487600
1197,Appartement,Paris 07,Gros Caillou,4,3,87,1980000
1198,Maison,,,5,3,85,292000
1199,Appartement,Evry,Grand Bourg,3,2,66.58,169900
1200,Maison,,,6,4,150,780000
1201,Appartement,Viry-Châtillon,Chatillon,2,1,40.57,158000
1202,Appartement,Bagnolet,Dhuys-Gallieni,3,2,72,325500
1203,Appartement,Mennecy,Sud,3,2,54.86,175000
1204,Maison,,,7,4,227,369000
1205,Maison,,,6,2,140,399000
1206,Maison,Thiais,Les Baudemons,6,3,110,465000
1207,Maison,Chilly-Mazarin,Mairie-Champs Fous-Morangis,10,6,275,649000
1208,Appartement,La Garenne-Colombes,Chedal Anglay,2,1,47.84,360000
1209,Appartement,Cergy,Le Point du Jour-Centre Gare,3,2,56.02,207000
1210,Appartement,Thiais,Les Nefliers,3,2,64.55,356380
1211,Appartement,Deuil-la-Barre,Le Moutier,3,1,67.58,209000
1212,Maison,,,7,5,184,545000
1213,Appartement,Paris 06,Saint Placide,5,3,136.13,2055000
1214,Appartement,Cergy,Les Terrasses-Axe Majeur-Lauterne,3,2,62,187000
1215,Appartement,Paris 16,Muette Nord,7,5,243,2900000
1216,Appartement,Versailles,Domaine National du Château,3,2,73.8,551000
1217,Appartement,Montigny-le-Bretonneux,Le Manet-Sud,2,1,52,217875
1218,Appartement,Ris-Orangis,La Ferme d'Orangis,2,1,45.86,155150
1219,Appartement,Neuilly-sur-Marne,Maréchal Leclerc,3,2,66,239900
1220,Maison,Villecresnes,Grosbois,5,3,100,344500
1221,Maison,Gagny,Président Pompidou Sud,3,2,54,226000
1222,Appartement,Le Chesnay,Pre Vert,1,,34,215900
1223,Maison,Mitry-Mory,Centre,4,2,80,259000
1224,Maison,Montmagny,Les Sablons,5,3,91.48,345000
1225,Maison,Saint-Germain-en-Laye,Pontel,8,6,213,950000
1226,Appartement,Saint-Maur-des-Fossés,Adamville,2,1,48,305000
1227,Appartement,Paris 16,Porte Dauphine,4,2,81.75,1095000
1228,Appartement,Paris 15,Georges Brassens,5,3,105.18,968000
1229,Appartement,Paris 06,Rennes,2,1,52,807000
1230,Appartement,Paris 07,Ecole Militaire,6,4,210,2300000
1231,Maison,,,5,4,96.5,275000
1232,Appartement,La-Celle-Saint-Cloud,Bourg-La Feuillaume Nord,8,4,206,750000
1233,Appartement,Vaires sur Marne,Est,4,3,79,202000
1234,Maison,,,4,3,114,393750
1235,Appartement,Pierrefitte-sur-Seine,Sud,4,2,88,194000
1236,Maison,,,6,3,112,171600
1237,Appartement,,,1,,24.03,154425
1238,Appartement,,,5,3,112.12,2580000
1239,Maison,,,6,4,120,464000
1240,Maison,Pontoise,Saint Jean-Les Patis,6,3,114,295000
1241,Appartement,Paris 14,Jean Moulin-Porte d'Orléans,5,4,112.5,1346000
1242,Maison,Ris-Orangis,Mairie-Gare,9,5,200,453650
1243,Appartement,Saint-Cyr-l'École,Hôtel de Ville,4,3,90,324450
1244,Maison,Saint-Cloud,Coteaux,5,4,144,1690000
1245,Appartement,Chambourcy,Nord,5,3,97.23,349000
1246,Appartement,Paris 04,Arsenal,4,2,100,1690000
1247,Appartement,Paris 14,Mouton Duvernet,,,,250200
1248,Appartement,Bondy,Noue Caillet-Terre Saint Blaise-Les Mérisiers,3,2,67,199800
1249,Appartement,Ermont,Ancien Centre Ville,4,3,76.96,409000
1250,Appartement,Paris 16,Muette Nord,5,3,159,2220000
1251,Maison,,,6,4,130,497000
1252,Maison,Epinay sur Orge,Le Mauregard,4,3,80,212000
1253,Appartement,Paris 17,Courcelles-Wagram,4,4,115.6,1428816
1254,Appartement,Boulogne-Billancourt,Grenier–Point du Jour,2,1,31.77,287000
1255,Maison,Sucy-en-Brie,Notre Dame-Bruyeres,7,5,156.87,455000
1256,Maison,Ris-Orangis,Mairie-Gare,9,5,200,453650
1257,Appartement,Paris 14,Mouton Duvernet,,,,250200
1258,Maison,Savigny-sur-Orge,Armée Leclerc-Jean Allemane,7,4,170,479000
1259,Maison,,,3,2,61.03,182000
1260,Maison,L'Isle-Adam,Nogent-Cassan,9,6,250,1016000
1261,Maison,Montmorency,Haut Montmorency Est,7,5,173,675000
1262,Appartement,Paris 15,Georges Brassens,3,2,72,698000
1263,Maison,,,7,4,230,695000
1264,Appartement,Chilly-Mazarin,Rue de Gravigny,3,2,61,160500
1265,Appartement,Pontoise,Centre Ville,3,2,56,195000
1266,Appartement,Alfortville,Carnot-Petit Pont-Alouettes,2,1,36.63,210000
1267,Maison,Dammarie les Lys,Chateau Gaillard,6,4,123,330000
1268,Maison,Saint-Fargeau-Ponthierry,Moulignon-Auxonnettes-Jonville,8,4,197,435000
1269,Appartement,Paris 18,Charles-Hermite-Evangile,1,,25.82,229000
1270,Appartement,Pontoise,Centre Ville,,,,94160
1271,Appartement,Paris 14,Pernety,2,1,25,336000
1272,Maison,,,6,4,142,387000
1273,Maison,,,7,3,165,499000
1274,Appartement,Paris 12,Bel-Air Sud,4,2,75.93,760000
1275,Appartement,Paris 11,Léon-Blum Folie-Regnault,4,3,79,900000
1276,Maison,,,6,4,145,1050000
1277,Maison,Fontenay-sous-Bois,Victor Hugo,7,5,215,840000
1278,Maison,,,5,3,90,292000
1279,Appartement,Paris 01,Vendôme,2,1,54,1140000
1280,Appartement,Saint-Cloud,Fouilleuse,5,3,100.31,780000
1281,Appartement,Paris 18,Clignancourt-Jules Joffrin,1,,12.85,174000
1282,Appartement,Cergy,Le Terroir,3,2,51.9,192000
1283,Appartement,Neuilly-sur-Seine,La Plaine des Sablons,2,1,55,620000
1284,Appartement,Villiers-sur-Marne,Le Centre Ville,3,2,73,308850
1285,Maison,Le Pecq,Vieux Pecq Cité,7,5,210,875000
1286,Appartement,Paris 19,Centre,9,5,320,1890000
1287,Appartement,Conflans-Sainte-Honorine,Centre Ville,4,3,85,299900
1288,Maison,Antony,Guillebaud-Beauv Vallon-Les Rabats-Antonypole,7,5,135.22,840000
1289,Appartement,,,5,3,85,470000
1290,Appartement,Champs-sur-Marne,Descartes,4,2,94,289000
1291,Appartement,,,3,2,60.69,240000
1292,Appartement,Paris 06,Notre Dame des Champs,5,3,155,2200000
1293,Appartement,Paris 16,Auteuil Nord,4,2,92,1150000
1294,Appartement,,,4,3,84,450000
1295,Maison,Sèvres,Beau Site-Pommerets-Binelles,5,3,102,1300000
1296,Maison,Triel sur Seine,Sud,7,5,178.36,525000
1297,Appartement,Châtenay-Malabry,Faulotte,3,2,60,396000
1298,Maison,Montesson,Le Village,7,5,224,915000
1299,Appartement,Saint-Maur-des-Fossés,Le Vieux-Saint-Maur,4,2,60,325500
1300,Appartement,Montigny-le-Bretonneux,Les Près,2,1,49.42,189000
1301,Appartement,Thiais,Les Saules,3,2,53.67,210000
1302,Appartement,Rueil-Malmaison,Rueil sur Seine-Plaine-Gare,3,2,66,365000
1303,Appartement,Paris 16,Chaillot,4,3,223,3570000
1304,Appartement,Courbevoie,Hôtel de Ville,2,1,52.88,320000
1305,Maison,,,5,3,130,399000
1306,Appartement,Paris 17,La Fourche-Guy Môquet,2,1,32,350000
1307,Appartement,,,3,2,57,295000
1308,Maison,,,5,3,135,291500
1309,Appartement,Herblay,Les Naquettes-Les Bournouviers,2,1,42.3,189000
1310,Maison,Dourdan,La Croix Saint Jacques,5,3,112,307000
1311,Maison,Gif-sur-Yvette,Chevry Centre,7,5,150,550000
1312,Appartement,Montesson,Le Village,2,1,40,280000
1313,Appartement,Paris 04,Saint Gervais,2,1,50,700000
1314,Maison,Aubergenville,Elisa,6,3,106,295500
1315,Maison,Morsang sur Orge,La Gribelette,6,4,110,325000
1316,Maison,,,6,4,130,336000
1317,Appartement,Ris-Orangis,Centre,2,1,30,94000
1318,Appartement,Saint-Cyr-l'École,Hôtel de Ville,3,2,68,276400
1319,Maison,Gournay sur Marne,Bel Air-Bras Saint Arnoult,7,5,160,625000
1320,Appartement,Paris 18,Clignancourt-Jules Joffrin,5,3,115,1600000
1321,Maison,,,9,4,248,668000
1322,Maison,,,10,5,260,840000
1323,Appartement,Pontault-Combault,Orme Au Charron,3,2,61,169000
1324,Appartement,Fresnes,Fosse Aux Loups,4,3,72,315000
1325,Appartement,Paris 17,Péreire-Malesherbes,3,2,97.74,1578000
1326,Appartement,Chelles,Périchelles-Saint Hubert-Centre Gare-Abbesses,3,2,51,144700
1327,Appartement,Neuilly-sur-Seine,La Plaine des Sablons,8,6,203,3150000
1328,Maison,Garches,Cote Saint Louis,8,5,302,1950000
1329,Appartement,,,3,2,71,272000
1330,Maison,Livry-Gargan,Gutenbert,6,4,145,495000
1331,Appartement,Rambouillet,Centre Forêt,3,2,81.31,378000
1332,Maison,,,7,5,153,595000
1333,Appartement,Saint-Fargeau-Ponthierry,Moulin Clair-Moulin de la Seine,3,2,65,149000
1334,Appartement,Boulogne-Billancourt,Billancourt–Rives de Seine,5,3,140,1480000
1335,Maison,,,8,2,155,349000
1336,Maison,Saint-Nom-la-Bretèche,Sud,3,2,75,337000
1337,Maison,,,8,6,200,324000
1338,Appartement,Croissy-sur-Seine,Centre Ville,4,2,97.97,510000
1339,Appartement,Cergy,Petit Albi,3,2,60.4,189000
1340,Appartement,Noisy-le-Grand,Bois Saint Martin-Yvris-Richardets-Monfort,4,3,85.35,217500
1341,Appartement,Paris 04,Saint Gervais,4,2,86,1150000
1342,Maison,Pontoise,Hermmitage,6,4,129,477000
1343,Maison,Neuilly Plaisance,Plateau,6,3,104,370000
1344,Maison,Versailles,Clagny-Glatigny,8,6,150,1190000
1345,Appartement,Issy-les-Moulineaux,Epinettes,5,4,125.5,1185000
1346,Appartement,Choisy-le-Roi,Centre I,4,3,110,230000
1347,Maison,,,12,4,537,675000
1348,Appartement,Thiais,Les Saules,4,2,65.49,234000
1349,Appartement,Ris-Orangis,Le Moulin a Vent,2,1,45,95000
1350,Maison,,,2,1,40,108000
1351,Appartement,Livry-Gargan,Voltaire-Vaujours,2,1,46,116000
1352,Appartement,Chilly-Mazarin,Mairie-Champs Fous-Morangis,3,2,56.99,160000
1353,Appartement,Neuilly-sur-Seine,La Plaine des Sablons,5,3,100,950000
1354,Appartement,Sainte-Geneviève-des-Bois,Liers,4,3,81,165000
1355,Maison,Clamart,Trivaux-La Garenne 3F,5,3,130,713000
1356,Appartement,Coulommiers,Centre Ville Centre et Nord,2,1,41,144700
1357,Appartement,Argenteuil,Val Notre Dame-La Tour Billy,4,3,71.6,270000
1358,Appartement,L'Isle-Adam,Le Haut de l'Isle-Adam,4,2,84,365800
1359,Maison,,,5,4,163,380000
1360,Appartement,Eaubonne,Les Dures Terres,4,3,70,201400
1361,Appartement,Saint-Germain-en-Laye,Forêt,4,2,91,592000
1362,Appartement,,,3,2,59.1,205000
1363,Appartement,Guyancourt,Villaroy,4,3,84,268000
1364,Appartement,Chilly-Mazarin,Mairie-Champs Fous-Morangis,3,2,63,149000
1365,Appartement,,,5,4,84,279000
1366,Maison,Pontault-Combault,Mairie Rouxel-Sud Est,8,5,165,419900
1367,Appartement,,,5,4,96.42,509000
1368,Maison,Rueil-Malmaison,Plateau-Mont Valérien,6,4,142,998000
1369,Appartement,Saint-Germain-en-Laye,Alsace,6,4,156,1480000
1370,Maison,Cergy,Le Hazay-Les Essarts,6,3,150,425000
1371,Appartement,Paris 04,Saint Gervais,4,2,72,1185000
1372,Appartement,Le Chesnay,Pre Vert,4,2,110,649000
1373,Appartement,Rambouillet,Racinay Pierrefite,3,2,68,225000
1374,Maison,,,6,5,120,1075000
1375,Appartement,Vigneux-sur-Seine,Mocquet-Castors-Lafayette,3,2,62,208000
1376,Appartement,Maisons-Alfort,Charentonneau,4,3,80.8,530000
1377,Appartement,Argenteuil,Val Notre Dame-La Tour Billy,3,2,69,140400
1378,Maison,Vernouillet,Bas,7,5,135,430000
1379,Maison,,,8,5,161,480000
1380,Maison,Neuilly Plaisance,Maltournee,6,4,90,495000
1381,Appartement,Issy-les-Moulineaux,Colombiers,5,4,110.84,1046000
1382,Appartement,Melun,Centre,2,1,45.13,145000
1383,Appartement,Cormeilles-en-Parisis,Haut et Centre,3,1,64,245000
1384,Appartement,Epinay sur Seine,Gallieni-De Lattre de Tassigny,4,2,74.29,179000
1385,Appartement,Paris 18,La Chapelle-Marx Dormoy,2,1,33.63,328000
1386,Appartement,Paris 18,Montmartre,3,2,115,1158000
1387,Appartement,Savigny-sur-Orge,Henri Ouzilleau,4,3,65,109000
1388,Appartement,Franconville,Jean Monnet-Source Bruyère,3,2,62,211800
1389,Appartement,Saint-Denis,Centre Ville-Basilique,3,1,48,174900
1390,Maison,Roissy-en-Brie,Ascott-Village Ouest-Le Verger,7,5,160,398000
1391,Appartement,,,3,2,63.45,249000
1392,Appartement,Neuilly-sur-Seine,Ile de la Jatte-Parc d'Orléans,6,4,152,1550000
1393,Maison,Montreuil,La Noue-Clos Français,4,3,81,529000
1394,Appartement,Levallois-Perret,Trezel,4,3,86.39,998000
1395,Appartement,Saint-Leu-la-Forêt,Marcel Pagnol,1,,27,125000
1396,Appartement,,,4,3,89.76,183000
1397,Appartement,Paris 10,Faubourg du Temple-Hôpital Saint Louis,2,1,34.22,399000
1398,Maison,,,7,4,145,485000
1399,Appartement,Vanves,Bleuzen,3,2,65.86,442500
1400,Appartement,Levallois-Perret,Villiers-Cerdan,5,3,105.89,1248000
1401,Maison,Aubergenville,Trait Union,6,3,153,289000
1402,Maison,Sevran,Freinville,6,4,120,355000
1403,Maison,Bessancourt,Eglise,5,3,87,259900
1404,Appartement,Vitry-sur-Seine,Gare-Jean Jaurès,3,1,66.3,315000
1405,Appartement,Paris 17,Clichy-Batignolles,3,2,70.57,749000
1406,Appartement,Sceaux,Cheneaux Sablons,4,3,73.05,540000
1407,Appartement,Paris 04,Arsenal,3,2,92,1290000
1408,Appartement,Paris 06,Monnaie,7,4,175,4100000
1409,Appartement,Taverny,Centre Ancien Est,3,2,44,146000
1410,Appartement,La Garenne-Colombes,Chateau Ridel,6,4,170,1590000
1411,Maison,,,5,3,85,311000
1412,Maison,Cormeilles-en-Parisis,Emy les Pres,6,4,131,525000
1413,Maison,Bougival,Les Hauts de Bougival,8,4,170,950000
1414,Maison,,,9,6,250,380000
1415,Appartement,Bougival,Centre Ville-Jonchère,3,1,48.24,240000
1416,Appartement,Le Pecq,Ermitage,3,2,66.19,289000
1417,Maison,Noisy-le-Roi,Le Village,6,4,139,748500
1418,Appartement,Paris 06,Odéon,,,,398000
1419,Maison,,,6,3,125,319990
1420,Appartement,Paris 16,Auteuil Sud,5,4,110,1170000
1421,Appartement,Paris 10,Faubourg du Temple-Hôpital Saint Louis,2,1,40,510000
1422,Appartement,Paris 17,Legendre-Lévis,1,,19.67,239800
1423,Appartement,Thiais,Les Saules,5,3,77,265900
1424,Maison,Houilles,Belles Vues,6,4,187,652000
1425,Appartement,Cergy,Les Terrasses-Axe Majeur-Lauterne,3,2,55.77,181000
1426,Appartement,Paris 11,République-Saint Ambroise,4,2,96.2,1289000
1427,Appartement,Malakoff,Les Nouzeaux,5,3,107.7,672000
1428,Appartement,Paris 16,Chaillot,6,4,196,2450000
1429,Appartement,Rueil-Malmaison,Rueil sur Seine-Plaine-Gare,3,2,76,446000
1430,Maison,Chatou,Gambetta,8,6,170,936000
1431,Maison,Malakoff,Les Fosses Rouges,5,3,119,895000
1432,Appartement,Paris 20,Gambetta,3,2,40,379000
1433,Maison,,,6,4,115,211000
1434,Maison,Argenteuil,Val Notre Dame-La Tour Billy,4,3,74,298000
